timestamp,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_qos_flow_nbr_value,log_type,application,current_uc
2025-05-03 20:13:50,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:51,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:52,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:53,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:54,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:55,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:56,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:57,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:58,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:13:59,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:00,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:01,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:02,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:03,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:04,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:05,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:06,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:07,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:08,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:09,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:10,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:11,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:12,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:13,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:14,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:15,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:16,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:17,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:18,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:19,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:20,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:21,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:22,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:23,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:24,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:25,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:26,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:27,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:28,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:29,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:30,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:31,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:32,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:33,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:34,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:35,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:36,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:37,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:38,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:39,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:40,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:41,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:42,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:43,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:44,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:45,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:46,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:47,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:48,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
2025-05-03 20:14:49,0.0,0.0,358.0,358.0,358.0,0.0,0.0,0
