timestamp,amf_session_value,bearers_active_value,fivegs_amffunction_amf_authreject_value,fivegs_amffunction_amf_authreq_value,fivegs_amffunction_mm_confupdate_value,fivegs_amffunction_mm_confupdatesucc_value,fivegs_amffunction_mm_paging5greq_value,fivegs_amffunction_mm_paging5gsucc_value,fivegs_amffunction_rm_regemergreq_value,fivegs_amffunction_rm_regemergsucc_value,fivegs_amffunction_rm_reginitreq_value,fivegs_amffunction_rm_reginitsucc_value,fivegs_amffunction_rm_registeredsubnbr_value,fivegs_amffunction_rm_regmobreq_value,fivegs_amffunction_rm_regmobsucc_value,fivegs_amffunction_rm_regperiodreq_value,fivegs_amffunction_rm_regperiodsucc_value,fivegs_ep_n3_gtp_indatapktn3upf_value,fivegs_ep_n3_gtp_outdatapktn3upf_value,fivegs_pcffunction_pa_policyamassoreq_value,fivegs_pcffunction_pa_policyamassosucc_value,fivegs_pcffunction_pa_policysmassoreq_value,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_smffunction_sm_n4sessionestabreq_value,fivegs_smffunction_sm_n4sessionreport_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_pdusessioncreationsucc_value,fivegs_smffunction_sm_qos_flow_nbr_value,fivegs_smffunction_sm_sessionnbr_value,fivegs_upffunction_sm_n4sessionestabreq_value,fivegs_upffunction_sm_n4sessionreport_value,fivegs_upffunction_sm_n4sessionreportsucc_value,fivegs_upffunction_upf_qosflows_value,fivegs_upffunction_upf_sessionnbr_value,gn_rx_createpdpcontextreq_value,gn_rx_deletepdpcontextreq_value,gn_rx_parse_failed_value,gnb_value,gtp1_pdpctxs_active_value,gtp2_sessions_active_value,gtp_new_node_failed_value,gtp_peers_active_value,process_cpu_seconds_total_value,process_max_fds_value,process_open_fds_value,process_resident_memory_bytes_value,process_start_time_seconds_value,process_virtual_memory_bytes_value,process_virtual_memory_max_bytes_value,ran_ue_value,s5c_rx_createsession_value,s5c_rx_parse_failed_value
2025-04-09 13:30:00,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16375,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:01,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.165,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:02,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:03,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:04,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:05,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.5,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:06,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:07,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:08,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16625,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:09,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1675,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:10,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1675,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:11,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1675,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:12,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1675,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:13,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1675,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:14,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16875,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:15,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16875,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:16,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.16875,655744.0,24.375,52342272.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:17,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:18,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:19,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:20,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:21,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:22,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:23,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:24,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:25,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17125,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:26,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1725,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:27,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1725,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:28,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.1725,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:29,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17375,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:30,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.17375,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:31,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.175,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:32,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.175,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:33,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.175,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:34,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.175,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
2025-04-09 13:30:35,0.5,0.5,0.0,8.0,55.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.5,0.5,0.5,49.5,47.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,14.0,14.0,14.0,1.0,7.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,19.175,655744.0,24.375,52342784.0,260263909.7275,1397296128.0,-1.0,0.5,0.0,0.0
